price,mileage,year,transmission,gearbox,fuel_type,location,brand,model,exterior_color,interior_color,upholstery,seats,doors,fiscal_power,engine_displacement
47531.0,180000,2014,Traction,Manuelle,Essence,Le Kef,Ford,Focus,Noir,Gris,Tissu,5.0,5.0,7,1595.0
59891.0,30000,2021,Traction,Manuelle,Essence,Tunis,Kia,Picanto,Noir,Noir,Tissu,5.0,5.0,5,1200.0
85882.0,201000,2014,Traction,Automatique,Essence,Ben Arous,Bmw,Série 3,Noir,Beige,Similicuir,5.0,4.0,7,1598.0
93782.0,55000,2022,Traction,Automatique,Essence,Ariana,Ford,Kuga,Bleu,Noir,Tissu,5.0,5.0,8,
144371.0,19000,2021,Traction,Manuelle,Diesel,Tunis,Kia,Sportage,Gris shark,Noir,Cuir intégral,5.0,5.0,7,1599.0
91383.0,157000,2013,Intégrale,Automatique,Diesel,Ariana,Audi,Q5,Noir,Noir,Cuir intégral,5.0,5.0,10,2000.0
153925.0,120000,2011,Traction,Automatique,Essence,Ariana,Audi,S5,Blanc,Rouge,Cuir intégral,5.0,3.0,26,4000.0
60746.0,149000,2021,Traction,Manuelle,Essence,Ben Arous,Renault,Clio,Gris anthracite,Noir,Tissu,5.0,4.0,5,1198.0
43200.0,182000,2008,Traction,Manuelle,Essence,Nabeul,Ford,Fusion,Gris argent,Noir,Tissu,5.0,5.0,5,899.0
48862.0,50000,2018,Traction,Manuelle,Essence,Ariana,Lada,Niva,Noir,Noir,Tissu,4.0,3.0,8,1000.0
61223.0,179000,2018,Traction,Automatique,Essence,Kairouan,Ford,Focus,Gris anthracite,Noir,Tissu,5.0,5.0,7,1000.0
65521.0,240000,2013,Traction,Manuelle,Essence,Ben Arous,Mercedes-benz,Classe a,Blanc,Noir,Tissu,5.0,5.0,6,1600.0
155794.0,22330,2022,Traction,Automatique,Hybride essence,Ariana,Nissan,Qashqai,Blanc,Noir,Cuir intégral,5.0,4.0,7,1300.0
186294.0,140000,2021,Traction,Automatique,Essence,Ben Arous,Bmw,Série 5,Blanc,Autre,Cuir intégral,5.0,4.0,10,2000.0
73668.0,160000,2017,Traction,Automatique,Essence,Ben Arous,Mg,Gs,Beige,Nan,Nan,,,9,
289157.0,60000,2022,Traction,Automatique,Essence,Ariana,Bmw,X3,Noir,Beige,Cuir intégral,5.0,5.0,11,1000.0
81810.0,15000,2022,Traction,Automatique,Essence,Ben Arous,Chery,Tiggo 3x,Gris argent,Noir,Similicuir,5.0,5.0,6,998.0
72492.0,144000,2018,Traction,Automatique,Essence,Tunis,Ford,Ecosport,Bleu,Noir,Cuir partiel,5.0,4.0,7,1000.0
109701.0,72246,,Traction,Manuelle,Diesel,Sfax,Citroën,Berlingo,Gris argent,Noir,Tissu,5.0,4.0,7,1999.0
240505.0,25000,2024,Traction,Automatique,Hybride rechargeable essence,Tunis,Audi,Q3,Gris shark,Noir,Alcantara,5.0,5.0,8,1400.0
183024.0,42000,2022,Traction,Automatique,Essence,Ariana,Volvo,S60,Blanc,Noir,Cuir intégral,5.0,5.0,11,1660.0
196160.0,60000,2021,Traction,Automatique,Hybride essence,Tunis,Mercedes-benz,Gla,Gris shark,Noir,Cuir intégral,5.0,5.0,9,2499.0
80634.0,100000,2021,Traction,Manuelle,Essence,Sousse,Skoda,Kamiq,Bleu,Autre,Tissu,5.0,4.0,5,999.0
303930.0,46000,2021,Traction,Automatique,Hybride rechargeable essence,Ben Arous,Mercedes-benz,Glc plug-in hybride,Noir,Gris,Alcantara,5.0,5.0,10,1999.0
40119.0,0,2021,Traction,Manuelle,Essence,Nabeul,Suzuki,Celerio populaire,Rouge,Noir,Similicuir,5.0,4.0,4,899.0
102634.0,16000,2023,Traction,Automatique,Essence,Tunis,Ford,Ecosport,Gris anthracite,Noir,Tissu,5.0,5.0,7,999.0
54958.0,180000,2014,Traction,Automatique,Essence,Tunis,Kia,Cerato 5p,Marron,Gris,Tissu,5.0,5.0,8,1598.0
131432.0,93000,2021,Traction,Manuelle,Diesel,Ariana,Peugeot,Expert,Blanc,Noir,Cuir intégral,9.0,5.0,8,1997.0
45702.0,205000,2017,Traction,Manuelle,Essence,Médenine,Hyundai,Grand i10,Gris anthracite,Autre,Tissu,5.0,5.0,4,1248.0
57382.0,149000,2021,Traction,Manuelle,Essence,Ben Arous,Renault,Clio,Gris anthracite,Noir,Tissu,5.0,4.0,5,1198.0
127180.0,156000,2019,Traction,Automatique,Essence,Ariana,Volkswagen,Tiguan,Gris argent,Marron,Cuir intégral,4.0,5.0,8,1398.0
66930.0,78000,2021,Traction,Manuelle,Hybride essence,Nabeul,Fiat,500,Blanc,Beige,Cuir partiel,3.0,5.0,4,1198.0
70717.0,281000,2016,Intégrale,Automatique,Essence,Tunis,Toyota,Rav 4,Beige,Beige,Cuir intégral,5.0,4.0,9,1987.0
99429.0,141132,2015,Traction,Automatique,Essence,Ariana,Audi,Q3,Beige,Noir,Tissu,5.0,4.0,8,1400.0
110393.0,53000,2021,Traction,Automatique,Essence,Ariana,Kia,Seltos,Gris shark,Noir,Similicuir,5.0,5.0,8,1500.0
60474.0,240000,2013,Traction,Manuelle,Essence,Ben Arous,Mercedes-benz,Classe a,Blanc,Noir,Tissu,5.0,5.0,6,1600.0
163200.0,111000,2019,Traction,Automatique,Essence,Ariana,Mercedes-benz,Classe c,Gris anthracite,Noir,Velours,5.0,4.0,10,1497.0
53925.0,250000,2014,Intégrale,Automatique,Essence,Gabès,Kia,Cerato,Gris shark,Gris,Tissu,5.0,5.0,8,1599.0
98501.0,98000,2022,Traction,Manuelle,Essence,Nabeul,Volkswagen,Golf 8,Blanc,Noir,Tissu,5.0,5.0,6,999.0
267355.0,100000,2014,Traction,Automatique,Essence,Tunis,Porsche,Panamera,Noir,Nan,Nan,,,20,
128911.0,82000,2016,Propulsion,Automatique,Essence,Sfax,Mercedes-benz,Classe c,Blanc,Noir,Cuir intégral,5.0,5.0,8,1595.0
220943.0,35000,,Propulsion,Automatique,Hybride rechargeable essence,Tunis,Mercedes-benz,Classe c,Noir,Noir,Cuir partiel,5.0,4.0,6,1998.0
103253.0,100000,2016,Intégrale,Manuelle,Diesel,Ariana,Volkswagen,Transporter fourgon 6.1,Blanc,Gris,Tissu,3.0,4.0,7,2000.0
128800.0,157000,2016,Traction,Automatique,Diesel,Tunis,Mercedes-benz,Classe c,Noir,Noir,Similicuir,5.0,4.0,6,1598.0
75678.0,287000,2014,Traction,Manuelle,Diesel,Nabeul,Audi,A3,Rouge,Noir,Cuir intégral,5.0,5.0,6,1598.0
67635.0,100000,2022,Intégrale,Manuelle,Essence,Sousse,Suzuki,Swift,Gris argent,Noir,Tissu,5.0,5.0,5,1197.0
104317.0,170000,2016,Traction,Automatique,Essence,Tunis,Mercedes-benz,Classe c,Noir,Beige,Cuir intégral,5.0,5.0,8,1599.0
126499.0,69000,,Propulsion,Manuelle,Diesel,Nabeul,Volkswagen,Golf 8,Gris argent,Noir,Tissu,5.0,4.0,6,1998.0
68177.0,68954,2019,Traction,Manuelle,Essence,Ariana,Kia,Rio 5p,Marron,Gris,Tissu,5.0,4.0,5,1200.0
177492.0,115000,2011,Propulsion,Automatique,Essence,Tunis,Alpina,B7,Bleu,Marron,Cuir intégral,5.0,4.0,17,4999.0
73283.0,135000,2018,Traction,Automatique,Essence,Ariana,Ford,Ecosport,Beige,Noir,Tissu,5.0,5.0,7,
124029.0,270000,2008,Traction,Automatique,Diesel,Tunis,Bmw,X6,Noir,Rouge,Cuir intégral,5.0,5.0,15,3000.0
56324.0,256000,2017,Traction,Manuelle,Diesel,Ben Arous,Ford,Transit,Blanc,Nan,Nan,,,6,
129637.0,128000,2017,Traction,Automatique,Essence,Tunis,Mercedes-benz,Classe c,Noir,Beige,Cuir intégral,5.0,5.0,8,1599.0
57877.0,82000,2016,Traction,Manuelle,Essence,Ben Arous,Ford,Focus,Bleu,Noir,Tissu,5.0,4.0,6,2261.0
206602.0,60000,,Intégrale,Automatique,Essence,Nabeul,Land rover,Range rover,Noir,Autre,Cuir intégral,5.0,5.0,32,4197.0
41455.0,210000,2016,Traction,Manuelle,Essence,Sousse,Fiat,Punto,Blanc,Noir,Tissu,5.0,5.0,4,1200.0
184792.0,100000,2019,Traction,Automatique,Essence,Tunis,Mercedes-benz,Classe e coupé,Blanc,Noir,Alcantara,4.0,3.0,11,1997.0
71398.0,139199,2019,Traction,Manuelle,Diesel,Ariana,Peugeot,Expert,Blanc,Noir,Tissu,3.0,4.0,6,1500.0
65212.0,177000,,Traction,Manuelle,Essence,Tunis,Seat,Leon,Gris argent,Gris,Tissu,5.0,5.0,6,1197.0
46976.0,174000,,Traction,Manuelle,Essence,Sfax,Kia,Rio berline,Autre,Beige,Tissu,5.0,4.0,6,1399.0
71295.0,324765,2013,Intégrale,Automatique,Diesel,Ariana,Hyundai,Ix35,Gris anthracite,Marron,Similicuir,5.0,4.0,11,2000.0
227394.0,41000,2023,Propulsion,Automatique,Essence,Ben Arous,Mercedes-benz,Classe c,Noir,Noir,Cuir partiel,5.0,5.0,9,1500.0
