,title,price,link,image_url,Kilométrage,Couleur du véhicule,Etat du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Livraison,Cylindrée moto
0,BELLE OCCASION,17000,https://www.tayara.tn/fr/item/67a4d449c7eb459fa8d8622f/Voitures/Sfax/Sfax_Ville/BELLE_OCCASION/,https://www.tayara.tn/mediaGateway/resize-image?img=70/70124684-2b2f-4d7f-b4e6-76c40b7065ca&w=300,1,Noir,Avec kilométrage,Manuelle,1996,>4.0L,BMW,Serie 3,7,Berline,Essence,,
1,Jolie KIA RIO SEDAN,43000,https://www.tayara.tn/fr/item/67a4d426ecbb2843cb428254/Voitures/Tunis/Lac_1/Jolie_KIA_RIO_SEDAN_/,https://www.tayara.tn/mediaGateway/resize-image?img=d7/d7b88d62-80ba-4162-95da-87bb4c13f26f&w=300,114000,Gris,Avec kilométrage,Manuelle,2018,1.2L,Kia,Rio,5,Berline,Essence,,
2,Peugeot 308,45000,https://www.tayara.tn/fr/item/67a4d10bc7eb459fa8d85ef5/Voitures/Tataouine/Tataouine/Peugeot_308/,https://www.tayara.tn/mediaGateway/resize-image?img=fe/fe621461-4ced-4750-a74f-dcd4f7df5221&w=300,137000,Blanc,Nouveau,Manuelle,2018,1.2L,Peugeot,,6,,Essence,,
3,Hyundai Grand I10 BVA,43000,https://www.tayara.tn/fr/item/67a4d0f6c7eb459fa8d85edb/Voitures/Ben_Arous/Mohamedia/Hyundai_Grand_I10_BVA_/,https://www.tayara.tn/mediaGateway/resize-image?img=7b/7bcf78c2-bc09-4427-8267-ed1b724700bd&w=300,70000,Blanc,Avec kilométrage,Manuelle,2021,1.2L,Hyundai,I 10,5,Compacte,Essence,,
4,A vendre Ford focus,28000,https://www.tayara.tn/fr/item/67419ff60d8480a1e015464d/Voitures/Tunis/Le_Bardo/A_vendre_Ford_focus/,https://www.tayara.tn/mediaGateway/resize-image?img=a0/a06c3c24-e255-4dff-ac78-4d39df529181.jpg&w=300,,,,,,,,,,,,,
5,Mahindra kuv 100 2021,28500,https://www.tayara.tn/fr/item/67a49de1c7eb459fa8d8305c/Voitures/Ariana/La_Soukra/Mahindra_kuv_100_2021/,https://www.tayara.tn/mediaGateway/resize-image?img=d1/d1fccccd-c4f4-42ec-8261-83b5ce877f31&w=300,72000,Rouge,Avec kilométrage,Manuelle,2021,1.2L,Mahindra,Scorpion,4,Compacte,Essence,,
6,hyundai grand i10,48000,https://www.tayara.tn/fr/item/67a47b59c7eb459fa8d810eb/Voitures/Ariana/Mnihla/hyundai_grand_i10_/,https://www.tayara.tn/mediaGateway/resize-image?img=f6/f6ae0bd7-8925-426a-a727-ccff30579a86&w=300,41000,Noir,Avec kilométrage,Manuelle,2023,1.2L,Hyundai,I 10,5,Autres,Essence,,
7,Peugeot 208,30000,https://www.tayara.tn/fr/item/67a47af1c7eb459fa8d81089/Voitures/Ariana/Mnihla/Peugeot_208_/,https://www.tayara.tn/mediaGateway/resize-image?img=47/47f5a777-1bc5-44ea-9b6d-744c9194d73f&w=300,120000,Gris,Nouveau,Manuelle,2016,1.2L,Peugeot,208,4,Autres,Essence,,
8,Audi A3 S-line,70000,https://www.tayara.tn/fr/item/67a47aebc7eb459fa8d81081/Voitures/Ariana/Mnihla/Audi_A3_Sline_/,https://www.tayara.tn/mediaGateway/resize-image?img=f1/f19d07c2-5637-41aa-b9ae-e5ad8342a4e7&w=300,150000,Gris,Nouveau,Automatique,2017,1.4L,Audi,A3,6,Autres,Essence,,
9,mégane1 avendre,11700,https://www.tayara.tn/fr/item/67a3b5c5ecbb2843cb41a6b6/Voitures/Mahdia/Ksour_Essef/mgane1_avendre_/,https://www.tayara.tn/mediaGateway/resize-image?img=e2/e232a666-fbf6-4b6e-9fe6-4e26885fa853&w=300,280,Bleu,Avec kilométrage,Manuelle,1998,1.9L,Renault,Megane Estate,6,Berline,Diesel,,
